Materials Name,Molecule Name,Can Pass SievingSieving Mechanism,Mechanism,Test Conditions,Threshold Pressure,,
Tb-fum-fcu-MOF,isopentane,No,Molecular sieving based on rigid pore apertures and size exclusion,Total size exclusion,293 K,Not Applicable,
Tb-fum-fcu-MOF,isobutane,No,Molecular sieving based on rigid pore apertures and size exclusion,Total size exclusion,"293 K (adsorption isotherms); 298 K, 1 bar (mixed-gas breakthrough)",Not Applicable,
TaOFFIVE-1-Ni,carbon dioxide,Yes,Dynamic movement of pyz-ligand and pillar units,Preferential adsorption via strong interactions,"293 K, up to 1 bar",Not Applicable,
TaOFFIVE-1-Ni,methane,No,Dynamic movement of pyz-ligand and pillar units,Size exclusion due to limited pore aperture,"293 K, 0.5 bar",Not Applicable,
SUMOF-2,carbon dioxide,Yes,Not Reported,Size exclusion,273 K,Not Applicable,
SUMOF-2,methane,Yes,Not Reported,Size exclusion,273 K,Not Applicable,
ST-ZrBTB,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Not Reported,"278-313 K, 0-20 bar",Not Applicable,
ST-ZrBTB,methane,Yes,Size exclusion at sub-nanometer scale,Not Reported,"278-308 K, 0-100 bar",Not Applicable,
STAM-1,oxygen,Yes,Difference in diffusion rates between oxygen and nitrogen.,Kinetic sieving,Not Reported,Not Applicable,
SNU-71,carbon dioxide,Yes,Not Reported,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
SNNU-186,methane,Yes,Size exclusion at sub-nanometer scale,Thermodynamic interaction,"298 K, 1 bar",Not Applicable,
SNNU-186,ethane,Yes,Size exclusion at sub-nanometer scale,Thermodynamic-molecular sieving,"298 K, 1 bar",Not Applicable,
SNNU-186,propane,Conditional (see Additional Info),Size exclusion at sub-nanometer scale,Thermodynamic interaction,"298 K, 1 bar",Not Applicable,
SNNU-185,methane,Yes,Size exclusion at sub-nanometer scale,Thermodynamic interaction,"298 K, 1 bar",Not Applicable,
SNNU-185,ethane,Yes,Size exclusion at sub-nanometer scale,Thermodynamic-molecular sieving,"298 K, 1 bar",Not Applicable,
SNNU-185,propane,Conditional (see Additional Info),Size exclusion at sub-nanometer scale,Thermodynamic interaction,"298 K, 1 bar",Not Applicable,
Sm-L,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"273 K, 1 bar",Not Applicable,
SIM-1,carbon dioxide,Yes,Not Reported,Electrochemical reduction facilitated by ligand active sites,"-1.1 V (vs. RHE), CO2-saturated 0.25 M K2SO4 solution, pH 4.2, room temperature, atmospheric pressure",Not Applicable,
SIFSIX-Cu-TPA,isobutane,No,Diffusional restriction combined with specific host-guest interactions,size exclusion,298 K,Not Applicable,
SiFSIX-Co-tpb,3-methylpentane,Yes,Single pore-size sieving system,Size exclusion at sub-nanometer scale,303 K,Not Applicable,
SiFSIX-Co-tpb,"2,2-dimethylbutane",Yes,Single pore-size sieving system,Size exclusion at sub-nanometer scale,303 K,Not Applicable,
SIFSIX-6-Cd-i,ethane,Yes,Not Reported,van der Waals interaction,"298 K, 100 kPa",Not Applicable,
SIFSIX-6-Cd-i,methane,Yes,Not Reported,van der Waals interaction,"298 K, 100 kPa",Not Applicable,
SIFSIX-3-Zn,carbon dioxide,Yes,Smallest pore size leads to highest selectivity for CO2,Smallest pore size enhances CO2 adsorption,"298 K, 1 bar",Not Applicable,
SIFSIX-3-Zn,methane,No,Smallest pore size leads to highest selectivity for CO2,Size exclusion and weaker interactions,"298 K, 1 bar",Not Applicable,
SIFSIX-3-Zn,carbon dioxide,Yes,Contracted pore apertures provide sufficient diffusion barriers.,Kinetic sieving,Not Reported,Not Applicable,
SIFSIX-3-Zn,carbon dioxide,Yes,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
SIFSIX-3-Zn,methane,No,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
SIFSIX-3-Zn,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"0.1 bar, 298 K",Not Applicable,
SIFSIX-3-Zn,methane,No,Size exclusion at sub-nanometer scale,Size exclusion,"0.1 bar, 298 K",Not Applicable,
SIFSIX-3-Ni,carbon dioxide,Yes,Not Reported,Not Reported,Not Reported,Not Applicable,
SIFSIX-3-Ni,acetylene,No,Not Reported,Not Reported,Not Reported,Not Applicable,
SIFSIX-3-Ni,propylene,Yes,Kinetic differentiation without significant host distortion,Kinetic sieving,"298 K, 1 bar",Not Applicable,
SIFSIX-3-Ni,propane,Yes,Kinetic differentiation without significant host distortion,Kinetic sieving,"298 K, 1 bar",Not Applicable,
SIFSIX-3-Cu MOF,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Electron transfer between Cu2+ and CO2,"298 K, 40 Pa",Not Applicable,
SIFSIX-2-Ni-i,propylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 100 kPa",Not Applicable,
SIFSIX-2-Ni-i,propane,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 100 kPa",Not Applicable,
SIFSIX-2-Cu-i,acetylene,Yes,Not Reported,Strong host-guest hydrogen bonding,"298 K, 0.025 bar",Not Applicable,
SIFSIX-2-Cu-i,ethylene,No,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
SIFSIX-2-Cu-i,carbon dioxide,Yes,Not Reported,Chemical adsorption via SiF62- pillars,"298 K, 1 bar",Not Applicable,
SIFSIX-2-Cu-i,carbon dioxide,Yes,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
SIFSIX-2-Cu-i,methane,Conditional (see Additional Info),Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
SIFSIX-2-Cu-i,carbon dioxide,Yes,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
SIFSIX-2-Cu-i,methane,Yes,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
SIFSIX-2-Cu-i,acetylene,Yes,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
SIFSIX-2-Cu-i,ethylene,No,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
SIFSIX-2-Cu-i,acetylene,Yes,Size and/or shape exclusion,Size exclusion,"298 K, 1 bar",Not Applicable,
SIFSIX-2-Cu-i,ethylene,Yes,Size and/or shape exclusion,Size exclusion,"298 K, 1 bar",Not Applicable,
SIFSIX-2-Cu-i,acetylene,Yes,Combination of optimal pore size and multiple active sites.,Size exclusion,"298 K, 1 bar",Not Applicable,
SIFSIX-2-Cu-i,ethylene,No,Combination of optimal pore size and multiple active sites.,Size exclusion,"298 K, 1 bar",Not Applicable,
SIFSIX-2-Cu,carbon dioxide,Yes,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
SIFSIX-2-Cu,methane,Yes,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
SIFSIX-2-Cu,carbon dioxide,Yes,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
SIFSIX-2-Cu,methane,Yes,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
SIFSIX-1-Cu,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Strong CO2-framework interactions,"298 K, 1 bar",Not Applicable,
SIFSIX-14-Cu-i (UTSA-200),acetylene,Yes,Size exclusion for ethylene; molecular sieving for acetylene,Size-compatible pore aperture,"298 K, 1 bar",Not Applicable,
SIFSIX-14-Cu-i (UTSA-200),ethylene,No,Size exclusion for ethylene; molecular sieving for acetylene,Size exclusion,"298 K, 1 bar",Not Applicable,
SIFSIX-14-Cu-i (UTSA-200),acetylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
SIFSIX-14-Cu-i (UTSA-200),ethylene,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
SIFSIX-14-Cu-i,carbon dioxide,Yes,The narrow pore window of 3.4 Å blocks methane while allowing carbon dioxide to pass through.,Size exclusion at sub-nanometer scale,"273 K, 1 bar",Not Applicable,
SIFSIX-14-Cu-i,methane,No,The narrow pore window of 3.4 Å blocks methane while allowing carbon dioxide to pass through.,Size exclusion at sub-nanometer scale,"273 K, 1 bar",Not Applicable,
SIFSIX-14-Cu-i,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"1 bar, 273 K",Not Applicable,
SIFSIX-14-Cu-i,methane,No,Size exclusion at sub-nanometer scale,Size exclusion,"1 bar, 273 K",Not Applicable,
SGPF-1,acetylene,Yes,Electrostatic compatibility and pore size exclusion.,Electrostatic attraction and hydrogen bonding,"298 K, 100 kPa",Not Applicable,
SGPF-1,carbon dioxide,Yes,Electrostatic compatibility and pore size exclusion.,Weak electrostatic repulsion,"298 K, 100 kPa",Not Applicable,
SGPF-1,ethylene,Yes,Electrostatic compatibility and pore size exclusion.,Weak hydrogen bonding,"298 K, 100 kPa",Not Applicable,
SDMOF-1,acetylene,Yes,Complete size–shape sieving,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
SDMOF-1,ethylene,No,Complete size–shape sieving,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
SD-65,isobutane,No,Gate-opening and size exclusion mechanisms,size exclusion,298 K,Not Applicable,
SBMOF-1,xenon,Yes,Size exclusion combined with van der Waals interactions,Van der Waals interactions with aromatic rings,"298 K, 1 bar",Not Applicable,
SBMOF-1,krypton,No,Size exclusion combined with van der Waals interactions,Size exclusion,"298 K, 1 bar",Not Applicable,
RPM3-Zn,acetylene,Yes,Chain length-dependent gate-opening pressure for hydrocarbons.,Gate-opening effect,298 K,30 kPa,
RPM3-Zn,ethane,Yes,Chain length-dependent gate-opening pressure for hydrocarbons.,Gate-opening effect,298 K,40 kPa,
RPM3-Zn,ethylene,Yes,Chain length-dependent gate-opening pressure for hydrocarbons.,Gate-opening effect,298 K,60 kPa,
RPM1-Co,carbon tetrafluoride,Conditional (see Additional Info),Kinetic separation mechanism based on diffusion rates.,Kinetic sieving,"118 K, 153 Pa",Not Applicable,
RPM1-Co,carbon tetrafluoride,No,Not Reported,Kinetic separation,Not Reported,Not Applicable,
Qc-5-Cu-sql,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"0.15 bar, 298 K",Not Applicable,
Qc-5-Cu-sql,methane,No,Size exclusion at sub-nanometer scale,Size exclusion,"0.15 bar, 298 K",Not Applicable,
PIZA-1,benzene,Yes,Size and shape selective adsorption,Size exclusion,Not Reported,Not Applicable,
PIZA-1,toluene,Yes,Size and shape selective adsorption,Size exclusion,Not Reported,Not Applicable,
PCP-IPA (Co(IPA)(DPG)),propane,Yes,Not Reported,Thermodynamic driving separation,"298 K, 1 bar",Not Applicable,
PCP-IPA (Co(IPA)(DPG)),propylene,Yes,Not Reported,Thermodynamic driving separation,"298 K, 1 bar",Not Applicable,
PCP-IPA,propane,Yes,Directed adsorption of C3H8 via pore geometry,Stiff connections and aligned hydrogen atoms,"298 K, 0.1 bar",Not Applicable,
PCP-IPA,propylene,No,Directed adsorption of C3H8 via pore geometry,Exclusion based on pore geometry,"298 K, 0.1 bar",Not Applicable,
PCP-31,acetylene,Yes,Not Reported,Not Reported,298 K,Not Applicable,
PCP-31,carbon dioxide,No,Not Reported,Not Reported,298 K,Not Applicable,
PCP-1,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,195 K,0.91 bar,
PCP 2,carbon monoxide,Yes,Coordination of CO molecules with open Cu2+ ions,Coordination bonding,"120 K, 80 kPa",Not Applicable,
PCN-17,oxygen,Yes,Restricted pore apertures differentiate gas adsorption based on molecular size.,Size-selective adsorption,77 K,Not Applicable,
PCN-13,oxygen,Yes,Selective adsorption based on pore aperture size matching gas molecule dimensions.,Size-selective adsorption,Not Reported,Not Applicable,
PAF-1-SO₃Ag,ethylene,Yes,pi-complexation for ethylene; size exclusion for ethane,pi-complexation with Ag(I) sites,Ambient conditions,Not Applicable,
PAF-1-SO₃Ag,ethane,No,pi-complexation for ethylene; size exclusion for ethane,Weaker interactions or size exclusion,Ambient conditions,Not Applicable,
N-Y-abtc,propylene,Yes,Selective molecular exclusion of propane from propylene through ultrasmall pore apertures.,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
N-Y-abtc,propane,No,Selective molecular exclusion of propane from propylene through ultrasmall pore apertures.,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
NUM-7,propane,Yes,Preferential adsorption via C—H···π interactions,Preferential adsorption via C—H···π interactions,Low-pressure region,Not Applicable,
NUM-7,propylene,No,Preferential adsorption via C—H···π interactions,Exclusion based on pore environment,Low-pressure region,Not Applicable,
NU-2200,hexane,Yes,Size exclusion at sub-Ångstrom scale,Kinetic sieving,"298 K, liquid phase batch experiments",Not Applicable,
NU-2200,2-methylpentane,Yes,Size exclusion at sub-Ångstrom scale,Kinetic sieving,"298 K, liquid phase batch experiments",Not Applicable,
NU-2200,3-methylpentane,Yes,Size exclusion at sub-Ångstrom scale,Kinetic sieving,"298 K, liquid phase batch experiments",Not Applicable,
NU-2200,"2,3-dimethylbutane",No,Size exclusion at sub-Ångstrom scale,Size exclusion,"298 K, liquid phase batch experiments",Not Applicable,
NU-2200,"2,2-dimethylbutane",No,Size exclusion at sub-Ångstrom scale,Size exclusion,"298 K, liquid phase batch experiments",Not Applicable,
NU-1000,ethylene,Not Reported,Not Reported,Not Reported,Not Reported,Not Applicable,
NU-1000,propyne,Yes,Not Reported,Not Reported,Reduction conditions,Not Applicable,
NU-1000,carbon dioxide,Conditional (see Additional Info),Anisotropic permeability due to structural arrangement of channels,Size exclusion at sub-nanometer scale,"200 K, gas flow conditions",Not Applicable,
NTU-88,propyne,Yes,Confined-rotational shutters allowing exclusive propyne adsorption.,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
NTU-88,propylene,No,Confined-rotational shutters allowing exclusive propyne adsorption.,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
NTU-69,acetylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
NTU-69,ethylene,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
NTU-67,acetylene,Yes,Size exclusion at sub-nanometer scale,Kinetic sieving,"298 K, 1 bar",Not Applicable,
NTU-67,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Kinetic sieving,"298 K, 1 bar",Not Applicable,
NTU-67,ethylene,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
NTU-65,acetylene,Yes,Temperature-regulated gate-opening pressure for selective adsorption,Gate-opening adsorption,"Varies by temperature (e.g., 263 K)","1.2 kPa at 263 K, increases with temperature",
NTU-65,carbon dioxide,Yes,Temperature-regulated gate-opening pressure for selective adsorption,Gate-opening adsorption,"Varies by temperature (e.g., 263 K)","Higher than acetylene, increases with temperature",
NTU-65,ethylene,No,Temperature-regulated gate-opening pressure for selective adsorption,Size exclusion at sub-nanometer scale,"Varies by temperature (e.g., 263 K)","Highest among the three gases, increases with temperature",
NOTT-300,ethylene,Yes,Hydrogen bonding for ethylene; size exclusion for ethane,Hydrogen bonding,"293 K, 1 bar",Not Applicable,
NOTT-300,ethane,No,Hydrogen bonding for ethylene; size exclusion for ethane,Weaker hydrogen bonding,"293 K, 1 bar",Not Applicable,
NO3-BTR,carbon dioxide,Temperature-dependent,Temporary deviation of gate-keeping groups to allow gas admission,Temporary deviation of gate-keeping groups (NO3-),"230 K, 100 kPa",Not Applicable,
NO3-BTR,methane,Temperature-dependent,Temporary deviation of gate-keeping groups to allow gas admission,Temporary deviation of gate-keeping groups (NO3-),"298 K, 100 kPa",Not Applicable,
NNM-6,3-methylpentane,Not Reported,Not Reported,Not Reported,Not Reported,Not Applicable,
NNM-6,"2,2-dimethylbutane",Not Reported,Not Reported,Not Reported,Not Reported,Not Applicable,
NNM-5,3-methylpentane,Yes,Size-exclusion based separation due to narrow window,Size exclusion,303 K,Not Applicable,
NNM-5,"2,2-dimethylbutane",No,Size-exclusion based separation due to narrow window,Size exclusion,303 K,Not Applicable,
NKMOF-3-Ln,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,molecular-sieving,"298 K, 1 bar",Not Applicable,
NKMOF-1-Ni,acetylene,Yes,Specific binding site for acetylene,Hydrogen bonding and π–π interactions,"298 K, 1 bar",Not Applicable,
NKMOF-1-Ni,methane,No,Specific binding site for acetylene,Size exclusion,"298 K, 1 bar",Not Applicable,
NJU-bai8,propylene,Yes,Gate-opening effect enables selective separation,Gate-opening effect,"298�?48 K, 1 bar",49.0 kPa,
NJU-bai8,propane,Conditional (see Additional Info),Gate-opening effect enables selective separation,Gate-opening effect,"298�?48 K, 1 bar",49.0 kPa,
NJU-Bai3,carbon dioxide,Yes,Not Reported,Chemical adsorption via open metal sites and ligand interaction,"273 K, 1 bar",Not Applicable,
Ni-Trz,carbon dioxide,Yes,Not applicable due to wider aperture size leading to co-adsorption.,Not Reported,"298 K, 1 bar",Not Applicable,
Ni-Trz,acetylene,Yes,Not applicable due to wider aperture size leading to co-adsorption.,Not Reported,"298 K, 1 bar",Not Applicable,
NipzNi,2-methylpentane,Temperature-dependent,Size exclusion at sub-nanometer scale combined with adsorbate-dependent affinity differences.,Binding affinity difference,"303 K, 120 torr",Not Applicable,
NipzNi,"2,2-dimethylbutane",No,Size exclusion at sub-nanometer scale combined with adsorbate-dependent affinity differences.,Molecular sieving,"303�?63 K, up to 120 torr",Not Applicable,
Ni-MOF-74,propylene,Yes,Not Reported,Kinetic separation,"298 K, 323 K, and 348 K",Not Applicable,
Ni-MOF-74,propane,No,Not Reported,Kinetic separation,"298 K, 323 K, and 348 K",Not Applicable,
NiDBM-Bpy,carbon dioxide,Yes,Gate-opening effect and guest-dependent structural dynamics,Selective adsorption via structural transition,"30 °C (303 K), up to 17 bar","9.1 bar for N2O, 12.7 bar for CO2",
NiDBM-Bpy,methane,No,Gate-opening effect and guest-dependent structural dynamics,Size exclusion due to inability to initiate structural transition,"30 °C (303 K), up to 17 bar",Not Applicable,
NiDBM-Bpy,nitrous oxide,Conditional (see Additional Info),Gate-opening effect and guest-dependent structural dynamics,Competitive coadsorption with CO2,"30 °C (303 K), up to 17 bar",9.1 bar,
Ni-Asp,3-methylpentane,No,Size exclusion at sub-nanometer scale,Size exclusion,303 K to 423 K,Not Applicable,
Ni-Asp,"2,2-dimethylbutane",No,Size exclusion at sub-nanometer scale,Size exclusion,303 K to 423 K,Not Applicable,
Ni3(HITP)2,ammonia,No,Not Reported,Not Reported,Room temperature,Not Applicable,
Ni[Fe(CN)5NO],propylene,Yes,Not Reported,Thermodynamic driving separation,"298 K, 1 bar",Not Applicable,
Ni[Fe(CN)5NO],propane,Yes,Not Reported,Thermodynamic driving separation,"298 K, 1 bar",Not Applicable,
Ni(ina)2,methane,Yes,Optimizing pore sizes and functional sites enhances CH4/N2 separation.,Size exclusion,"298 K, 1 bar",Not Applicable,
Ni(4-DPDS)2CrO4,methane,Yes,Size exclusion at sub-nanometer scale combined with kinetic effects,Kinetic sieving,"298 K, 1 bar",Not Applicable,
Ni(4-DPDS)2CrO4,ethane,Yes,Size exclusion at sub-nanometer scale combined with kinetic effects,Kinetic sieving,"298 K, 1 bar",Not Applicable,
Ni(4-DPDS)2CrO4,propane,No,Size exclusion at sub-nanometer scale combined with kinetic effects,Size exclusion,"298 K, 1 bar",Not Applicable,
NH2-MIL-53(Al),carbon dioxide,Yes,Facilitated transport through amine-functionalized MOF,Facilitated transport through amine groups,"35°C, 2 bar",Not Applicable,
NH2-MIL-53(Al),methane,No,Facilitated transport through amine-functionalized MOF,Size exclusion at sub-nanometer scale,"35°C, 2 bar",Not Applicable,
NH2-MIL-101(Fe),carbon dioxide,Yes,Not Reported,Not Reported,"298 K, up to 4 bar",Not Applicable,
NH2-MIL-101(Fe),methane,Yes,Not Reported,Not Reported,"298 K, up to 4 bar",Not Applicable,
NH2-MIL-101(Fe),ethylene,Yes,Not Reported,Not Reported,"298 K, up to 4 bar",Not Applicable,
NH2-MIL-101(Fe),ethane,Yes,Not Reported,Not Reported,"298 K, up to 4 bar",Not Applicable,
NCU-100a,acetylene,Yes,Fine-tuned pore size and elongated Cu-F bonds enhance C2H2 selectivity.,Size exclusion,"298 K, 1 bar",Not Applicable,
NCU-100a,ethylene,No,Fine-tuned pore size and elongated Cu-F bonds enhance C2H2 selectivity.,Size exclusion,"298 K, 1 bar",Not Applicable,
NCU-100,acetylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
NCU-100,ethylene,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, up to 1.0 bar",Not Applicable,
NbU-1,ethylene,Yes,Not Reported,Kinetics-driven mechanism,"273 K, 1 bar",Not Applicable,
NbU-1,ethane,No,Not Reported,Size exclusion,"273 K, 1 bar",Not Applicable,
NbOFFIVE-2-Cu-i,xenon,Yes,Inverse size-sieving effect,Gate-opening effect,"273 K, up to 1 bar",0.1 bar,
NbOFFIVE-2-Cu-i,krypton,No,Inverse size-sieving effect,Size exclusion,"273 K, up to 0.92 bar",Not Applicable,
NbOFFIVE-1-Ni,carbon dioxide,Yes,Not Reported,Electron transfer between Ni2+ and CO2,"298 K, 40 Pa",Not Applicable,
NbOFFIVE-1-Ni,propane,No,Steric effect excluding propane while allowing propylene transport.,Size exclusion,Not Reported,Not Applicable,
NbOFFIVE-1-Ni,propylene,Yes,Steric effect excluding propane while allowing propylene transport.,Size exclusion,Not Reported,Not Applicable,
NbOFFIVE-1-Ni,propylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
NbOFFIVE-1-Ni,propane,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, up to ~1 bar",~1.5 bar (minor uptake observed),
NbOFFIVE-1-Ni,propane,No,Not Reported,Not Reported,Atmospheric pressure,Not Applicable,
NbOFFIVE-1-Ni,propylene,Yes,Not Reported,Not Reported,Atmospheric pressure,Not Applicable,
NbOFFIVE-1-Ni,propylene,Yes,Molecular sieving based on size exclusion,Molecular sieving,"298 K, 1 bar",Not Applicable,
NbOFFIVE-1-Ni,propane,No,Molecular sieving based on size exclusion,Size exclusion,"298 K, 1 bar",Not Applicable,
NbOFFIVE-1-Ni,propylene,Yes,Complete molecular exclusion based on pore aperture size,Molecular sieving with pore opening under gas stimuli,"298 K, up to 1 bar",Not Applicable,
NbOFFIVE-1-Ni,propane,No,Complete molecular exclusion based on pore aperture size,Complete molecular exclusion,"298 K, up to 1 bar",Not Applicable,
NbOFFIVE-1-Ni,propylene,Yes,Complete size-selective exclusion of propane from propylene.,Size-selective exclusion,298 K,Not Applicable,
NbOFFIVE-1-Ni,propane,No,Complete size-selective exclusion of propane from propylene.,Size exclusion,298 K,Not Applicable,
NbOFFIVE-1-Ni,carbon dioxide,Yes,Dynamic movement of pyz-ligand and pillar units,Preferential adsorption via strong interactions,"293 K, up to 1 bar",Not Applicable,
NbOFFIVE-1-Ni,methane,No,Dynamic movement of pyz-ligand and pillar units,Size exclusion due to limited pore aperture,"293 K, 0.5 bar",Not Applicable,
NbOFFIVE-1-Ni,propylene,Yes,Size exclusion at sub-nanometer scale combined with host dynamics,Kinetic sieving,"298 K, 1 bar",Not Applicable,
NbOFFIVE-1-Ni,propane,Conditional (see Additional Info),Size exclusion at sub-nanometer scale combined with host dynamics,Size exclusion,"298 K, 1 bar",Not Applicable,
NbOFFIVE-1-Ni,propylene,Yes,Not Reported,Gate opening effect,"298 K, 1 bar",Not Applicable,
NbOFFIVE-1-Ni,propane,No,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
NbOFFIVE-14-Co-i,ethylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 100 kPa",Not Applicable,
NbOFFIVE-14-Co-i,ethane,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 100 kPa",Not Applicable,
NbFSIX-2-Cu-i,1-butene,Yes,Fine-tuned pore aperture for molecular recognition and size sieving.,Gate-opening phenomenon,"298 K, 1.01 bar",Approximately 0.005 bar,
NbFSIX-2-Cu-i,isobutene,No,Fine-tuned pore aperture for molecular recognition and size sieving.,Size exclusion,"298 K, 1.01 bar",Not Applicable,
Y-abtc,propylene,Yes,Selective molecular exclusion of propane from propylene through ultrasmall pore apertures.,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
Y-abtc,propane,No,Selective molecular exclusion of propane from propylene through ultrasmall pore apertures.,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
MUV-26b,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
MUV-26a,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
MUT-11,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Strong interactions and early pore filling due to small pore size,"298 K, up to 1 bar",Not Applicable,
MUT-11,acetylene,Yes,Size exclusion at sub-nanometer scale,Strong interactions and early pore filling due to small pore size,"298 K, up to 1 bar",Not Applicable,
MUF-15-OMe,carbon dioxide,Pressure-dependent,"Flexing of the framework creates additional pore space, enabling selective adsorption.",Gate opening at around 620 Torr,"273 K, 1 bar",620 Torr,
MUF-15-OMe,acetylene,Yes,"Flexing of the framework creates additional pore space, enabling selective adsorption.",Gate opening at specific pressures,"263�?93 K, pressures vary",Around 110 Torr at 263 K,
MUF-15-OMe,ethylene,Yes,"Flexing of the framework creates additional pore space, enabling selective adsorption.",Gate opening at specific pressures,"195�?93 K, pressures vary",Around 85 Torr at 195 K,
MUF-15-OMe,ethane,Yes,"Flexing of the framework creates additional pore space, enabling selective adsorption.",Gate opening at specific pressures,"263�?93 K, pressures vary",Around 100 Torr at 263 K,
M-PTC MOFs,carbon dioxide,Yes,Size exclusion based on hydrodynamic radii and uniform pore size distribution.,Strong adsorption interaction,"Gas phase, 273 K, 1 bar",Not Applicable,
MoOFOUR-Co-tpb,3-methylpentane,Yes,Dual pore-size sieving system,Size exclusion at sub-nanometer scale,303 K,Not Applicable,
MoOFOUR-Co-tpb,"2,2-dimethylbutane",No,Dual pore-size sieving system,Size exclusion at sub-nanometer scale,303 K,Not Applicable,
MOOFOUR-1-Ni,carbon dioxide,Yes,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
MOOFOUR-1-Ni,methane,Yes,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
MOF-B: OPT_act_sym_7_mc_4_1B_2CF3,methane,Yes,Not Reported,Not Reported,"300 K, Pressure range 0-100 bar",Not Applicable,
MOF-A: OPT_act_sym_6_mc_3_sym_3_on_2_1B_4Br_1B_4Br,methane,Yes,Not Reported,Not Reported,"300 K, Pressure range 0-100 bar",Not Applicable,
MOF-74-M,ethylene,Yes,pi-complexation for olefins; size exclusion for larger molecules,pi-complexation with open metal sites,"318 K, equimolar mixture",Not Applicable,
"MOF-74-M""",ethane,No,pi-complexation for olefins; size exclusion for larger molecules,Size exclusion or weaker interactions,"318 K, equimolar mixture",Not Applicable,
MOF-74-M,propylene,Yes,pi-complexation for olefins; size exclusion for larger molecules,pi-complexation with open metal sites,"298 K, 1 bar",Not Applicable,
MOF-74-M,propane,No,pi-complexation for olefins; size exclusion for larger molecules,Size exclusion or weaker interactions,"298 K, 1 bar",Not Applicable,
MOF-508,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Cooperative adsorption,"195 K, pressure not specified",Not Applicable,
MOF-5,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,Not Reported,Not Applicable,
