Materials Name,Molecule Name,Can Pass SievingPore Size,Structure Type,Material Category,Sieving Mechanism,Molecular Size,Mechanism,File Name,Test Conditions,Threshold Pressure,Additional Info,,,,,,,,,
NTU-65,ethylene,No,"2.6 × 3.4 Å, 5.2 × 6.3 Å",3D framework with pcu topology,MOFs,Temperature-regulated gate-opening pressure for selective adsorption,Not Reported,Size exclusion at sub-nanometer scale,10.1002-anie.202011802_1747623946830239_10.1002@anie.202011802.json,"Varies by temperature (e.g., 263 K)","Highest among the three gases, increases with temperature",Negligible adsorption under optimized conditions.,,,,,,,,
NSC@Fe3O4,tetracycline,Yes,18 nm (after Fe3O4 loading),2D stacked layer structure,MOF composite,The 2D stacked structure creates confined spaces that allow selective access for smaller molecules while excluding larger ones.,Not Reported,Size exclusion at sub-nanometer scale,10.1016_j.seppur.2022.121694.json,"25 °C, [TTCH] = 20 mg/L, [NSC@Fe3O4] = 0.3 g/L, [PMS] = 0.5 g/L",Not Applicable,The 2D stacked structure allows only small molecules like tetracycline to contact active sites while excluding larger molecules such as humic acid.,,,,,,,,
NSC@Fe3O4,humic acid,No,18 nm (after Fe3O4 loading),2D stacked layer structure,MOF composite,The 2D stacked structure creates confined spaces that allow selective access for smaller molecules while excluding larger ones.,Not Reported,Size exclusion at sub-nanometer scale,10.1016_j.seppur.2022.121694.json,"25 °C, [TTCH] = 20 mg/L, [NSC@Fe3O4] = 0.3 g/L, [PMS] = 0.5 g/L",Not Applicable,Humic acid is excluded due to its larger size compared to the pore size of the material.,,,,,,,,
NOTT-300,ethylene,Yes,Not Reported,Not Reported,MOFs,Hydrogen bonding for ethylene; size exclusion for ethane,4.163 Å,Hydrogen bonding,10.1016-j.isci.2021.103042_1747626115992237_S2589004221010105.json,"293 K, 1 bar",Not Applicable,Higher adsorption capacity toward ethylene (4.28 mmol g⁻�? compared to ethane (0.85 mmol g⁻�?,,,,,,,,
NOTT-300,ethane,No,Not Reported,Not Reported,MOFs,Hydrogen bonding for ethylene; size exclusion for ethane,4.443 Å,Weaker hydrogen bonding,10.1016-j.isci.2021.103042_1747626115992237_S2589004221010105.json,"293 K, 1 bar",Not Applicable,Significantly lower adsorption capacity for ethane,,,,,,,,
NO3-BTR,carbon dioxide,Temperature-dependent,"4 Å (triangle aperture), 14.5 Å (primary inner cage diameter)",3D cages,MOFs,Temporary deviation of gate-keeping groups to allow gas admission,Not Reported,Temporary deviation of gate-keeping groups (NO3-),10.1016-j.cej.2024.150293.json,"230 K, 100 kPa",Not Applicable,Threshold admission temperature (T0) for CO2 is 230 K,,,,,,,,
NO3-BTR,nitrogen,Temperature-dependent,"4 Å (triangle aperture), 14.5 Å (primary inner cage diameter)",3D cages,MOFs,Temporary deviation of gate-keeping groups to allow gas admission,Not Reported,Temporary deviation of gate-keeping groups (NO3-),10.1016-j.cej.2024.150293.json,"298 K, 100 kPa",Not Applicable,Threshold admission temperature (T0) for N2 is 298 K,,,,,,,,
NO3-BTR,methane,Temperature-dependent,"4 Å (triangle aperture), 14.5 Å (primary inner cage diameter)",3D cages,MOFs,Temporary deviation of gate-keeping groups to allow gas admission,Not Reported,Temporary deviation of gate-keeping groups (NO3-),10.1016-j.cej.2024.150293.json,"298 K, 100 kPa",Not Applicable,Threshold admission temperature (T0) for CH4 is 298 K,,,,,,,,
NNM-6,n-hexane,Not Reported,"4.6 Å (6MR window), 4.4 Å (3MR window)",Large hexagonal window accommodating two ligands,MOFs,Not Reported,Not Reported,Not Reported,10.1002-anie.202412494.json,Not Reported,Not Applicable,Lower separation potential observed,,,,,,,,
NNM-6,3-methylpentane,Not Reported,"4.6 Å (6MR window), 4.4 Å (3MR window)",Large hexagonal window accommodating two ligands,MOFs,Not Reported,Not Reported,Not Reported,10.1002-anie.202412494.json,Not Reported,Not Applicable,Lower separation potential observed,,,,,,,,
NNM-6,"2,2-dimethylbutane",Not Reported,"4.6 Å (6MR window), 4.4 Å (3MR window)",Large hexagonal window accommodating two ligands,MOFs,Not Reported,Not Reported,Not Reported,10.1002-anie.202412494.json,Not Reported,Not Applicable,Lower separation potential observed,,,,,,,,
NNM-5,n-hexane,Yes,"5.8 Å (square windows), 3.8 Å (hexagonal windows)",Big cage and small aperture,MOFs,Size-exclusion based separation due to narrow window,Not Reported,Size exclusion,10.1002-anie.202412494.json,303 K,Not Applicable,Exceptional high uptake of 65.9 cm³ g⁻�?,,,,,,,,
NNM-5,3-methylpentane,Yes,"5.8 Å (square windows), 3.8 Å (hexagonal windows)",Big cage and small aperture,MOFs,Size-exclusion based separation due to narrow window,Not Reported,Size exclusion,10.1002-anie.202412494.json,303 K,Not Applicable,Lower uptake compared to n-hexane,,,,,,,,
NNM-5,"2,2-dimethylbutane",No,"5.8 Å (square windows), 3.8 Å (hexagonal windows)",Big cage and small aperture,MOFs,Size-exclusion based separation due to narrow window,Not Reported,Size exclusion,10.1002-anie.202412494.json,303 K,Not Applicable,Negligible adsorption observed,,,,,,,,
n-MOF-74(Ni)@γ-Al2O3,hydrogen,Yes,Not Reported,3D honeycomb network structure with a channel diameter of about 11 Å,MOF composite,Chemical affinity quantum sieving effect due to unsaturated Ni2+ metal open sites,Not Reported,Chemical affinity quantum sieving,10.1016_j.chroma.2021.462641.json,"77 K, carrier gas flow rate varied",Not Applicable,Separation resolution increased with loading cycles of MOF-74 on γ-Al2O3,,,,,,,,
n-MOF-74(Ni)@γ-Al2O3,deuterium,Yes,Not Reported,3D honeycomb network structure with a channel diameter of about 11 Å,MOF composite,Chemical affinity quantum sieving effect due to unsaturated Ni2+ metal open sites,Not Reported,Chemical affinity quantum sieving,10.1016_j.chroma.2021.462641.json,"77 K, carrier gas flow rate varied",Not Applicable,Separation resolution increased with loading cycles of MOF-74 on γ-Al2O3,,,,,,,,
NKMOF-3-Ln,carbon dioxide,Yes,4 Å,1D channels,MOFs,Size exclusion at sub-nanometer scale,Not Reported,molecular-sieving,10.1021-acsami.9b04619_1747624286741006_10.1021@acsami.9b04619.json,"298 K, 1 bar",Not Applicable,CO2 adsorption capacity increases with lanthanide contraction.,,,,,,,,
NKMOF-3-Ln,nitrogen,No,4 Å,1D channels,MOFs,Size exclusion at sub-nanometer scale,Not Reported,size exclusion,10.1021-acsami.9b04619_1747624286741006_10.1021@acsami.9b04619.json,"298 K, 1 bar",Not Applicable,Negligible N2 uptake due to molecular sieving effect.,,,,,,,,
NKMOF-1-Ni,acetylene,Yes,5.75 Å,3D networks with 1D square channels,MOFs,Specific binding site for acetylene,0.33 nm,Hydrogen bonding and π–π interactions,10.1007-s41061-019-0257-0_1747623508585127_pei2019.json,"298 K, 1 bar",Not Applicable,Strong interactions between acetylene and framework,,,,,,,,
NKMOF-1-Ni,methane,No,5.75 Å,3D networks with 1D square channels,MOFs,Specific binding site for acetylene,0.38 nm,Size exclusion,10.1007-s41061-019-0257-0_1747623508585127_pei2019.json,"298 K, 1 bar",Not Applicable,Low uptake capacity for methane,,,,,,,,
NJU-bai8,propylene,Yes,Not Reported,Flexible porous structure,MOFs,Gate-opening effect enables selective separation,4.678 Å (kinetic diameter),Gate-opening effect,10.1016_j.fuel.2024.131314.json,"298�?48 K, 1 bar",49.0 kPa,High uptake ratio (1.68) for C3H6,,,,,,,,
NJU-bai8,propane,Conditional (see Additional Info),Not Reported,Flexible porous structure,MOFs,Gate-opening effect enables selective separation,4.3�?.118 Å (kinetic diameter),Gate-opening effect,10.1016_j.fuel.2024.131314.json,"298�?48 K, 1 bar",49.0 kPa,Flat pore size and strong acid-base interaction favor C3H6 over C3H8,,,,,,,,
NJU-Bai3,carbon dioxide,Yes,11.1-15.2 Å,Not Reported,MOFs,Not Reported,3.3 Å,Chemical adsorption via open metal sites and ligand interaction,10.1021-acssuschemeng.0c05155_1747625285029910_10.1021@acssuschemeng.0c05155.json,"273 K, 1 bar",Not Applicable,High CO2 uptake due to optimized pore size and chemical interactions.,,,,,,,,
Ni-Trz,carbon dioxide,Yes,"Slightly wider than Cu-Trz, Not Reported (exact dimensions), Not Reported (PLD), Not Reported (LCD)",1D channels,MOFs,Not applicable due to wider aperture size leading to co-adsorption.,3.2 Å × 3.3 Å × 5.4 Å,Not Reported,10.1016_j.scib.2023.09.008.json,"298 K, 1 bar",Not Applicable,CO2 is quickly adsorbed in Ni-Trz.,,,,,,,,
Ni-Trz,acetylene,Yes,"Slightly wider than Cu-Trz, Not Reported (exact dimensions), Not Reported (PLD), Not Reported (LCD)",1D channels,MOFs,Not applicable due to wider aperture size leading to co-adsorption.,3.3 Å × 3.3 Å × 5.7 Å,Not Reported,10.1016_j.scib.2023.09.008.json,"298 K, 1 bar",Not Applicable,C2H2 is co-adsorbed with CO2 due to the wider aperture size.,,,,,,,,
Ni-TABQ,lithium polysulfides,No,Not Reported,2D nanosheets,MOF membrane,Chemisorption and size exclusion based on chemical interactions,Not Reported,Chemical adsorption and catalytic conversion,10.1016_j.ensm.2022.07.018.json,Not Reported,Not Applicable,Ni-TABQ exhibits dual catalytic sites (Ni-N4 and quinone) which enable effective trapping and multistep catalysis of lithium polysulfides.,,,,,,,,
Ni-TABQ,S8,No,Not Reported,2D nanosheets,MOF membrane,Chemisorption and size exclusion based on chemical interactions,Not Reported,Chemical adsorption,10.1016_j.ensm.2022.07.018.json,Not Reported,Not Applicable,"Ni-TABQ shows strong interaction with S8 via its Ni-N4 center, as confirmed by DFT calculations and XPS analysis.",,,,,,,,
Ni-TABQ,Li2S6,No,Not Reported,2D nanosheets,MOF membrane,Chemisorption and size exclusion based on chemical interactions,Not Reported,Chemical adsorption,10.1016_j.ensm.2022.07.018.json,UV-vis adsorption test,Not Applicable,"Ni-TABQ demonstrates the highest adsorption capacity for Li2S6 among the studied materials, attributed to its dual adsorption sites (quinone and Ni-N4).",,,,,,,,
NipzNi,n-hexane,Yes,"7.10 Å (distance between pyrazine rings), 7.28 Å (distance between open Ni atoms)",3D network with one-dimensional channels,MOFs,Size exclusion at sub-nanometer scale combined with adsorbate-dependent affinity differences.,0.43 nm,Size exclusion and binding affinity,10.1016-j.cej.2023.141743.json,"363 K, 120 torr",Not Applicable,Lower uptake capacity of 128.7 mg/g at 363 K compared to CopzNi.,,,,,,,,
NipzNi,2-methylpentane,Temperature-dependent,"7.10 Å (distance between pyrazine rings), 7.28 Å (distance between open Ni atoms)",3D network with one-dimensional channels,MOFs,Size exclusion at sub-nanometer scale combined with adsorbate-dependent affinity differences.,0.50 nm,Binding affinity difference,10.1016-j.cej.2023.141743.json,"303 K, 120 torr",Not Applicable,Relatively low uptake compared to CopzNi.,,,,,,,,
NipzNi,"2,2-dimethylbutane",No,"7.10 Å (distance between pyrazine rings), 7.28 Å (distance between open Ni atoms)",3D network with one-dimensional channels,MOFs,Size exclusion at sub-nanometer scale combined with adsorbate-dependent affinity differences.,0.56 nm,Molecular sieving,10.1016-j.cej.2023.141743.json,"303�?63 K, up to 120 torr",Not Applicable,Negligible uptake due to size exclusion.,,,,,,,,
NiPc-Ni and NiPc-Cu,ammonia,Yes,Not Reported,Not Reported,MOF membrane,Not Reported,Not Reported,Not Reported,10.1002-smll.202407021.json,Not Reported,Not Applicable,Average response of 43%-45% to 80 ppm NH3.,,,,,,,,
NiPc-Ni and NiPc-Cu,hydrogen sulfide,Yes,Not Reported,Not Reported,MOF membrane,Not Reported,Not Reported,Not Reported,10.1002-smll.202407021.json,Not Reported,Not Applicable,"Responses of 64% and 98% to 80 ppm H2S for NiPc-Ni and NiPc-Cu, respectively.",,,,,,,,
NiPc-Ni and NiPc-Cu,nitric oxide,Yes,Not Reported,Not Reported,MOF membrane,Not Reported,Not Reported,Not Reported,10.1002-smll.202407021.json,Not Reported,Not Applicable,"High response of -657% and -397% to 1 ppm NO for NiPc-Ni and NiPc-Cu, respectively.",,,,,,,,
Ni-MOF-74/CNT,lithium polysulfides,No,1.2 nm (main pore aperture),3D framework with vertically aligned nanopillar array,MOF composite,"Selective blocking of lithium polysulfides through adsorption and molecular sieving, combined with facilitated transport of Li+ ions.",0.9�?.1 nm,Size exclusion at sub-nanometer scale,10.1016_j.cej.2022.140043.json,"Room temperature, liquid electrolyte environment",Not Applicable,The dense root of the MOF nanopillar array selectively blocks lithium polysulfides while allowing Li+ ion transport.,,,,,,,,
Ni-MOF-74/CNT,solvated Li ion (Li+(DME)3),Yes,1.2 nm (main pore aperture),3D framework with vertically aligned nanopillar array,MOF composite,"Selective blocking of lithium polysulfides through adsorption and molecular sieving, combined with facilitated transport of Li+ ions.",0.6�?.7 nm,Kinetic sieving facilitated by lithiophilic sites,10.1016_j.cej.2022.140043.json,"Room temperature, liquid electrolyte environment",Not Applicable,"The material exhibits high affinity towards Li ions due to Ni and O lithium-philic sites, promoting homogeneous Li deposition.",,,,,,,,
Ni-MOF-74,propylene,Yes,Not Reported,Not Reported,MOFs,Not Reported,Not Reported,Kinetic separation,10.1016-j.jece.2020.104790_1747624050838190_ghazvini2020.json,"298 K, 323 K, and 348 K",Not Applicable,"At 348 K, both equilibrium and kinetic mechanisms apply.",,,,,,,,
Ni-MOF-74,propane,No,Not Reported,Not Reported,MOFs,Not Reported,Not Reported,Kinetic separation,10.1016-j.jece.2020.104790_1747624050838190_ghazvini2020.json,"298 K, 323 K, and 348 K",Not Applicable,"At 348 K, both equilibrium and kinetic mechanisms apply.",,,,,,,,
Ni-MOF-74,deuterium,Yes,"1.1 nm (channel diameter, after accounting for van der Waals radii)",3D cages,MOFs,Size exclusion at sub-nanometer scale combined with quantum effects,0.29 nm,Quantum sieving due to zero-point energy difference,10.1021-ja402103u_1747623844619800_fitzgerald2013.json,"77 K, pressures up to 1 atm",Not Applicable,Selectivity over hydrogen increases with decreasing temperature.,,,,,,,,
Ni-MOF-74,hydrogen,Yes,"1.1 nm (channel diameter, after accounting for van der Waals radii)",3D cages,MOFs,Size exclusion at sub-nanometer scale combined with quantum effects,0.29 nm,Quantum sieving due to zero-point energy difference,10.1021-ja402103u_1747623844619800_fitzgerald2013.json,"77 K, pressures up to 1 atm",Not Applicable,Lower selectivity compared to deuterium at low temperatures.,,,,,,,,
Ni-MOF membrane,congo red,No,"0.77 nm (nanosheet spacing), 0.38 nm (coordination structural spacing)",2D nanosheets with layered structure,MOF membrane,Nano/sub-nanometer level selectivity based on size exclusion,Not Reported,Size exclusion,10.1016_j.memsci.2023.122352.json,"2 bar pressure, 50 mg L-1 dye concentration",Not Applicable,Rejection rate >99%,,,,,,,,
Ni-MOF membrane,methyl orange,Yes,"0.77 nm (nanosheet spacing), 0.38 nm (coordination structural spacing)",2D nanosheets with layered structure,MOF membrane,Nano/sub-nanometer level selectivity based on size exclusion,Not Reported,Size exclusion,10.1016_j.memsci.2023.122352.json,"2 bar pressure, 50 mg L-1 dye concentration",Not Applicable,Rejection rate 81.7%,,,,,,,,
Ni-MOF membrane,lemon yellow,No,"0.77 nm (nanosheet spacing), 0.38 nm (coordination structural spacing)",2D nanosheets with layered structure,MOF membrane,Nano/sub-nanometer level selectivity based on size exclusion,Not Reported,Size exclusion,10.1016_j.memsci.2023.122352.json,"2 bar pressure, 50 mg L-1 dye concentration",Not Applicable,Rejection rate 91.1%,,,,,,,,
Ni-MOF membrane,alcian blue,No,"0.77 nm (nanosheet spacing), 0.38 nm (coordination structural spacing)",2D nanosheets with layered structure,MOF membrane,Nano/sub-nanometer level selectivity based on size exclusion,Not Reported,Size exclusion,10.1016_j.memsci.2023.122352.json,"2 bar pressure, 50 mg L-1 dye concentration",Not Applicable,Rejection rate 99.8%,,,,,,,,
Ni-MOF membrane,sodium chloride,Yes,"0.77 nm (nanosheet spacing), 0.38 nm (coordination structural spacing)",2D nanosheets with layered structure,MOF membrane,Nano/sub-nanometer level selectivity based on size exclusion,Not Reported,Size exclusion,10.1016_j.memsci.2023.122352.json,"2 bar pressure, 50 mg L-1 salt concentration",Not Applicable,Rejection rate 4.02%,,,,,,,,
Ni-MOF membrane,sodium sulfate,Yes,"0.77 nm (nanosheet spacing), 0.38 nm (coordination structural spacing)",2D nanosheets with layered structure,MOF membrane,Nano/sub-nanometer level selectivity based on size exclusion,Not Reported,Size exclusion,10.1016_j.memsci.2023.122352.json,"2 bar pressure, 50 mg L-1 salt concentration",Not Applicable,Rejection rate 7.71%,,,,,,,,
Ni-MOF membrane,magnesium sulfate,Yes,"0.77 nm (nanosheet spacing), 0.38 nm (coordination structural spacing)",2D nanosheets with layered structure,MOF membrane,Nano/sub-nanometer level selectivity based on size exclusion,Not Reported,Size exclusion,10.1016_j.memsci.2023.122352.json,"2 bar pressure, 50 mg L-1 salt concentration",Not Applicable,Rejection rate 2.80%,,,,,,,,
Ni-MOF membrane,magnesium chloride,Yes,"0.77 nm (nanosheet spacing), 0.38 nm (coordination structural spacing)",2D nanosheets with layered structure,MOF membrane,Nano/sub-nanometer level selectivity based on size exclusion,Not Reported,Size exclusion,10.1016_j.memsci.2023.122352.json,"2 bar pressure, 50 mg L-1 salt concentration",Not Applicable,Rejection rate 2.41%,,,,,,,,
Ni-LAP-NH2,hydrogen,Yes,Not Reported,1D corrugated channels,MOF membrane,Adsorption-assisted molecular sieving and steric hindrance,0.289 nm,Adsorption-assisted molecular sieving,10.1021-acsami.4c12329.json,"25 °C, 0.1 MPa",Not Applicable,H2 permeance: 1.54 × 10^-7 mol·m^-2·s^-1·Pa^-1,,,,,,,,
Ni-LAP-NH2,carbon dioxide,No,Not Reported,1D corrugated channels,MOF membrane,Adsorption-assisted molecular sieving and steric hindrance,0.33 nm,Steric hindrance,10.1021-acsami.4c12329.json,"25 °C, 0.1 MPa",Not Applicable,CO2 diffusion coefficient: 0 m2/s,,,,,,,,
Ni-LAP-NH2,nitrogen,No,Not Reported,1D corrugated channels,MOF membrane,Adsorption-assisted molecular sieving and steric hindrance,0.364 nm,Steric hindrance,10.1021-acsami.4c12329.json,"25 °C, 0.1 MPa",Not Applicable,N2 adsorption capacity consistent with small-pore MOFs,,,,,,,,
Ni-LAP-NH2,methane,No,Not Reported,1D corrugated channels,MOF membrane,Adsorption-assisted molecular sieving and steric hindrance,0.38 nm,Steric hindrance,10.1021-acsami.4c12329.json,"25 °C, 0.1 MPa",Not Applicable,Not explicitly mentioned in the text but inferred from the context of steric hindrance,,,,,,,,
NiHHTP and NiHITP,nitric oxide,Yes,Not Reported,Not Reported,MOF membrane,Not Reported,Not Reported,Not Reported,10.1002-smll.202407021.json,Not Reported,Not Applicable,NiHHTP and NiHITP showed decreased and increased responses with increasing exposure time in NO atmosphere.,,,,,,,,
NiHHTP and NiHITP,hydrogen sulfide,Yes,Not Reported,Not Reported,MOF membrane,Not Reported,Not Reported,Not Reported,10.1002-smll.202407021.json,Not Reported,Not Applicable,Resistance of both MOF devices increased with increasing exposure time in H2S.,,,,,,,,
NiFe2O4@C@TiO2 microspheres,phosphorylated biomolecules,Yes,"1.4 nm (microporous), 3.2 nm and 6.4 nm (mesoporous)",hollow and hierarchical porous structure,MOF composite,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion at sub-nanometer scale,10.1021-acsami.1c10795_1747625304858533_luo2021.json,Not Reported,Not Applicable,The material showed excellent selectivity for phosphorylated biomolecules over larger non-phosphorylated proteins such as BSA (66 kDa) and α-casein (23 kDa).,,,,,,,,
NiFe2O4@C@TiO2 microspheres,bovine serum albumin,No,"1.4 nm (microporous), 3.2 nm and 6.4 nm (mesoporous)",hollow and hierarchical porous structure,MOF composite,Size exclusion at sub-nanometer scale,66 kDa,Size exclusion at sub-nanometer scale,10.1021-acsami.1c10795_1747625304858533_luo2021.json,Not Reported,Not Applicable,The material excluded high-molecular-weight proteins like BSA through the size-exclusion effect.,,,,,,,,
NiFe2O4@C@TiO2 microspheres,α-casein,No,"1.4 nm (microporous), 3.2 nm and 6.4 nm (mesoporous)",hollow and hierarchical porous structure,MOF composite,Size exclusion at sub-nanometer scale,23 kDa,Size exclusion at sub-nanometer scale,10.1021-acsami.1c10795_1747625304858533_luo2021.json,Not Reported,Not Applicable,The material excluded α-casein protein through the size-exclusion effect.,,,,,,,,
NiDBM-Bpy,carbon dioxide,Yes,Not Reported,1D channels,MOFs,Gate-opening effect and guest-dependent structural dynamics,3.3 Å,Selective adsorption via structural transition,10.1002-anie.201104130_1747623645557978_kauffman2011.json,"30 °C (303 K), up to 17 bar","9.1 bar for N2O, 12.7 bar for CO2",CO2 stabilizes the open pore structure.,,,,,,,,
NiDBM-Bpy,nitrogen,No,Not Reported,1D channels,MOFs,Gate-opening effect and guest-dependent structural dynamics,Not Reported,Size exclusion due to inability to initiate structural transition,10.1002-anie.201104130_1747623645557978_kauffman2011.json,"30 °C (303 K), up to 17 bar",Not Applicable,N2 does not stabilize or initiate structural changes at these conditions.,,,,,,,,
NiDBM-Bpy,methane,No,Not Reported,1D channels,MOFs,Gate-opening effect and guest-dependent structural dynamics,Not Reported,Size exclusion due to inability to initiate structural transition,10.1002-anie.201104130_1747623645557978_kauffman2011.json,"30 °C (303 K), up to 17 bar",Not Applicable,CH4 does not stabilize or initiate structural changes at these conditions.,,,,,,,,
NiDBM-Bpy,nitrous oxide,Conditional (see Additional Info),Not Reported,1D channels,MOFs,Gate-opening effect and guest-dependent structural dynamics,3.3 Å,Competitive coadsorption with CO2,10.1002-anie.201104130_1747623645557978_kauffman2011.json,"30 °C (303 K), up to 17 bar",9.1 bar,N2O competes with CO2 but adsorbs less effectively in mixtures.,,,,,,,,
nickel-based 2D-MOF nanosheet,water,Yes,0.96�?.0 nm,2D nanosheets,MOF composite,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion at sub-nanometer scale,10.1016_j.memsci.2022.120520.json,"20 bar, 25 ± 2 °C",Not Applicable,Water molecules can transport through the pores of the 2D-MOF nanosheet surface.,,,,,,,,
nickel-based 2D-MOF nanosheet,sodium chloride,No,0.96�?.0 nm,2D nanosheets,MOF composite,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion at sub-nanometer scale,10.1016_j.memsci.2022.120520.json,"20 bar, 25 ± 2 °C",Not Applicable,Salt ions are rejected due to smaller pore size compared to hydrated Na+ and Cl�?radius.,,,,,,,,
Ni-CAT,lithium polysulfides,No,2.7 nm,1D pore channels,MOFs,Difference in diffusion rates between lithium polysulfides and lithium ions within the MOF channels.,0.9-1.1 nm,Size exclusion at sub-nanometer scale,10.1016_j.electacta.2022.141788.json,Not Reported,Not Applicable,The dense root part of the Ni-CAT nanorods array plays a significant role in blocking lithium polysulfides.,,,,,,,,
Ni-CAT,lithium ions,Yes,2.7 nm,1D pore channels,MOFs,Difference in diffusion rates between lithium polysulfides and lithium ions within the MOF channels.,0.6-0.7 nm,Kinetic sieving,10.1016_j.electacta.2022.141788.json,Not Reported,Not Applicable,The Ni-CAT material facilitates fast Li+ diffusion due to its porous structure and good conductivity.,,,,,,,,
Ni-BTA,lithium polysulfides,No,Not Reported,2D nanosheets,MOF membrane,Chemisorption and size exclusion based on chemical interactions,Not Reported,Chemical adsorption and catalytic conversion,10.1016_j.ensm.2022.07.018.json,Not Reported,Not Applicable,"Ni-BTA primarily interacts with lithium polysulfides via its Ni-N4 center but lacks the additional quinone site present in Ni-TABQ, resulting in lower catalytic efficiency.",,,,,,,,
Ni-BTA,S8,No,Not Reported,2D nanosheets,MOF membrane,Chemisorption and size exclusion based on chemical interactions,Not Reported,Chemical adsorption,10.1016_j.ensm.2022.07.018.json,DFT calculations,Not Applicable,"Ni-BTA shows stronger binding energy for S8 compared to TABQ, attributed to the Ni-N4 center's interaction with S8.",,,,,,,,
Ni-BTA,Li2S6,No,Not Reported,2D nanosheets,MOF membrane,Chemisorption and size exclusion based on chemical interactions,Not Reported,Chemical adsorption,10.1016_j.ensm.2022.07.018.json,UV-vis adsorption test,Not Applicable,Ni-BTA exhibits lower adsorption capacity for Li2S6 compared to Ni-TABQ due to the absence of quinone functional groups.,,,,,,,,
Ni-Asp,n-hexane,Yes,6.4 × 4.2 Å2 (cross-section),1D channels,MOFs,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion at sub-nanometer scale,10.1021-acssuschemeng.2c03359.json,"303 K to 423 K, pressures up to 6.67 kPa",Not Applicable,Strong affinity due to quadruple O···H induction interactions with an average distance of 2.55 Å.,,,,,,,,
Ni-Asp,3-methylpentane,No,6.4 × 4.2 Å2 (cross-section),1D channels,MOFs,Size exclusion at sub-nanometer scale,6.2 × 5.2 Å2,Size exclusion,10.1021-acssuschemeng.2c03359.json,303 K to 423 K,Not Applicable,Excluded due to pore size limitation.,,,,,,,,
Ni-Asp,"2,2-dimethylbutane",No,6.4 × 4.2 Å2 (cross-section),1D channels,MOFs,Size exclusion at sub-nanometer scale,6.7 × 5.9 Å2,Size exclusion,10.1021-acssuschemeng.2c03359.json,303 K to 423 K,Not Applicable,Excluded due to pore size limitation.,,,,,,,,
NiAl-CO3 LDH membranes,hydrogen,Yes,0.31 nm (interlayer gallery height),Layered structure,Other,Size exclusion through interlayer galleries,Not Reported,Size exclusion,10.1016-j.cjche.2018.08.019_1747625960241732_liu2018.json,Not Reported,Not Applicable,H2 selectively permeates through narrow interlayer galleries.,,,,,,,,
NiAl-CO3 LDH membranes,methane,No,0.31 nm (interlayer gallery height),Layered structure,Other,Size exclusion through interlayer galleries,Not Reported,Size exclusion,10.1016-j.cjche.2018.08.019_1747625960241732_liu2018.json,Not Reported,Not Applicable,CH4 excluded due to larger kinetic diameter.,,,,,,,,
NiAl-CO3 LDH,hydrogen,Yes,0.31 nm (gallery height),Layered structure with interlayer galleries,Other,Size exclusion at sub-nanometer scale,0.29 nm,Molecular sieving through interlayer galleries,10.1039-c3ta13792a_1747624627946148_liu2014.json,"180 °C, 1 bar",Not Applicable,Permeance: 5.2 × 10⁻⁸ mol m⁻�?s⁻�?Pa⁻�?at 210 °C,,,,,,,,
NiAl-CO3 LDH,carbon dioxide,No,0.31 nm (gallery height),Layered structure with interlayer galleries,Other,Size exclusion at sub-nanometer scale,0.33 nm,Size exclusion due to larger kinetic diameter than gallery height,10.1039-c3ta13792a_1747624627946148_liu2014.json,"180 °C, 1 bar",Not Applicable,Strong adsorption of CO2 negatively affects H2 diffusion,,,,,,,,
NiAl-CO3 LDH,nitrogen,No,0.31 nm (gallery height),Layered structure with interlayer galleries,Other,Size exclusion at sub-nanometer scale,0.36 nm,Size exclusion due to larger kinetic diameter than gallery height,10.1039-c3ta13792a_1747624627946148_liu2014.json,"180 °C, 1 bar",Not Applicable,Ideal selectivity for H2-N2: 27.6,,,,,,,,
NiAl-CO3 LDH,methane,No,0.31 nm (gallery height),Layered structure with interlayer galleries,Other,Size exclusion at sub-nanometer scale,0.38 nm,Size exclusion due to larger kinetic diameter than gallery height,10.1039-c3ta13792a_1747624627946148_liu2014.json,"180 °C, 1 bar",Not Applicable,Ideal selectivity for H2-CH4: 76.8,,,,,,,,
Ni-4PyC@γ-Al2O3,hydrogen,Yes,3.35 nm (average pore size),Not Reported,MOF composite,Chemical affinity quantum sieving and kinetic quantum sieving effects on H2/D2,Not Reported,Kinetic sieving,d3dt01143g.json,"77 K, 1 bar",Not Applicable,Ni-4PyC@γ-Al2O3 exhibited a faster diffusion rate for H2 compared to D2 at 77 K.,,,,,,,,
Ni-4PyC@γ-Al2O3,deuterium,Yes,3.35 nm (average pore size),Not Reported,MOF composite,Chemical affinity quantum sieving and kinetic quantum sieving effects on H2/D2,Not Reported,Chemical affinity quantum sieving,d3dt01143g.json,"77 K, 1 bar",Not Applicable,Ni-4PyC@γ-Al2O3 showed stronger adsorption for D2 compared to H2 at 77 K.,,,,,,,,
